New Framework,,,,,,,,,
,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9
Day 1,"Prep 1 and Screening
English SVO",B SC 1 Structure of presentation,BIT 4 Emailing,B I Goals,B CSS 2 Retail Visit,SAE,B WOW 8 Placement Assessment,Mock interview & feedback by Batch Coordinator,Final Mock interview by Placement coordinator -Video taping
,,BIT 1 Intro to PPT,BIT 6 Goolgle docs,B WOW 3a Briefing of Hos sector,,,,,
Day 2,"Prep 2and Screening
Computer",BIT 3 PPT prep.,B WOW 1 reality of work,B SC 4 Visit to Hospitality,Discussion & De briefing of the visit,OA 2 individual counselling,B WOW 7 CV creation,B WOW 14 Situation Handling,Anger management
,,B SC 2 Presentation Delivery,B CSS 1 intro to sales,,B WOW 2 Reality of Retail,,,B WOW 10 Job club,
Day 3,"Prep 3 and Screening
Interpersonal & Cyber Security",B SC 2 cont.,B I 3 Fb & Improvement,Presentation on visit to Hos,B SE 7 Adjective,BIT 11 Excel formula,B WOW 9 success in interview part 1,Mock interview 2 by Center Coordinator,Financial Literacy
,,B SE 3 Continuous tense/ Conversation session,Visit to ITES,,,,,,
Day 4,"OA 1
One-on-one discussion & Orientation to B SMART",B I 2 listening skills,BIT 8 intro to excel,B WOW 3 reality of Hospitality,B CSS 4 Fabing,B I 7 presenting self,B WOW 11 com. Info & Duties,Inter view practice as per the Feedback given in Mock interviews,Batch Closure
,,B SE 4 Preposition of place,,BIT 10 Excel Formatting,,Community Drive,B SC 6 presentation on Company,B WOW 10 job followup & prep for Walk in interviews,
Day 5,B SE 1 introduction,B SE 5 Letter writing,B WOW 4 Reality of ITES,Family Day,B CSS 5 Sales Cycle,Revision of All sectors,B WOW 13 instruction of mock interview,Walk in interviews Visit,
,B I 1 Team work,AI tools & chatGPT,BFSI- Knowledge Financial products,,,B CSS 8 Sales pitch practice,Inter practice as per JD,,
Day 6,B SE 2 simple tenses/ Conversation session,"BIT 5 intro to word
Part 1 & 2",B CSS 11 tele sales,B I 10 Time management,B CSS 6 Cross & upsell,RSC 11 personal space or Safety & law by Mudita foundation,BIT 12 Excel formula,Debriefing of the Visit and plan for the interview,
,B SC 3 Grooming,,B SE 11,Open House/BIT 9 Google Sheets,B I 6 Assertive skills,,,Interview preparation,
