,Week 1,Week 2,Week 3,Week 4,Week 5
Day 1,"Prep 1/ Screening
4 hours","BIT 5 part a & b
","B WOW 4 Reality of ITES
","B WOW 8
placement Assessment
",OA 2 individual counselling
,,,"B CSS 11 tele sales skills
",,
Day 2,"OA 1
one on one discussion
5 hours",B SE 5 letter writing (Home Assignment),"B CSS 4
Fabing
","B WOW 13 JD under. & allotment
","Mock interview 2, Feedback & practice"
,,AI & chat GPT,,"B I 6 Assertive skills
",
,,BIT 4 Emailing,BFSI,Interview prep- Generic questions,
Day 3,"I 1 team work
","B WOW 1
","B CSS 5 Sales Cycle
",B I 7 Presenting self,BIT 12 Excel formula
,"B SE 1 intro
","B CSS 1
intro to sales
","B CSS 6 Cross & up selling
",Interview practice skill based questions,Final interview practice as per JD
Day 4,"B SC 3 Grooming
",B SE 7 Adjective -Describing products,"B WOW 9
success in interview part 1",Mock interview 1 & Fb,Final mock interview Video taping
,"B SC 1 Structure of presen
",Bit 9 Google drive,"B WOW 11 Company info
","B I 11
Time mgt
",
Day 5,"BIT 1
intro to ppt
","Hospitality or Retail visit
","B I 8a Strength
",B WOW 10 Job club,Batch closure
,"BIT 2
presentation prep
",,B WOW 14 Situation handling,BIT 10 Excel formatting,
Day 6,"B SC 2
Presentation delivery
",B WOW 2 Reality of R or H,B WOW 7 CV creation,Interview prp. knowledge based questions,Family day
,B I 3 Fb & Improvement,"BIT 8 intro to excel
",Revision of all sectors,BIT 11 Formula,
